epoch,train_loss,valid_loss,dice_score
0,0.679537,0.639564,0.400223
1,0.339675,0.321211,0.718176
2,0.263833,0.255513,0.754856
3,0.212363,0.232189,0.769255
4,0.197610,0.197151,0.800599
5,0.205846,0.205441,0.786052
6,0.174972,0.185617,0.811664
7,0.178046,0.191239,0.804349
8,0.170936,0.193410,0.802291
9,0.169225,0.184611,0.812550
10,0.173665,0.194461,0.803899
11,0.184610,0.175266,0.820235
12,0.184552,0.177038,0.815634
13,0.178234,0.184574,0.807623
14,0.160580,0.169273,0.826094
15,0.170098,0.173853,0.818653
16,0.158121,0.177612,0.814252
17,0.162859,0.179497,0.816851
18,0.175534,0.187083,0.805743
19,0.163888,0.182793,0.808997
20,0.157228,0.181334,0.810100
