epoch,train_loss,valid_loss,dice_score
0,0.876811,0.760399,0.452173
1,0.503693,0.382775,0.713466
2,0.362141,0.366197,0.717622
3,0.323464,0.402067,0.726183
4,0.255595,0.335737,0.781224
5,0.244776,0.326387,0.766843
6,0.226091,0.294248,0.790366
7,0.210989,0.275794,0.796102
8,0.210943,0.263283,0.802533
9,0.220193,0.248670,0.814044
10,0.224195,0.319072,0.768109
11,0.199674,0.303092,0.785302
12,0.197303,0.301054,0.783655
13,0.195952,0.295564,0.787502
14,0.199392,0.230540,0.837709
15,0.196201,0.265307,0.810887
16,0.201947,0.282530,0.798575
17,0.206869,0.245254,0.818411
18,0.210620,0.279742,0.798835
19,0.188715,0.279381,0.802922
20,0.202836,0.274558,0.800496
