epoch,train_loss,valid_loss,dice_score
0,0.891463,0.716654,0.545973
1,0.783707,0.608180,0.596577
2,0.687295,0.479124,0.686729
3,0.609370,0.396208,0.687562
4,0.531833,0.355181,0.705728
5,0.453105,0.316928,0.705750
6,0.408687,0.308646,0.724218
7,0.365275,0.286246,0.737588
8,0.358312,0.286778,0.727560
9,0.334194,0.330213,0.683813
10,0.315602,0.288964,0.726285
11,0.333191,0.337189,0.695720
12,0.318063,0.290717,0.737870
13,0.304184,0.291949,0.721681
14,0.296242,0.271623,0.749726
15,0.300138,0.289550,0.726614
16,0.295290,0.272381,0.754649
17,0.278185,0.244172,0.768173
18,0.269733,0.247664,0.772174
19,0.280228,0.296378,0.729691
20,0.281686,0.299247,0.719589
21,0.288420,0.295727,0.730890
22,0.308276,0.310901,0.706653
23,0.317457,0.292740,0.742954
24,0.295620,0.275745,0.753173
