epoch,train_loss,valid_loss,dice_score
0,0.859404,0.634119,0.527663
1,0.736968,0.543528,0.522216
2,0.685165,0.504281,0.585458
3,0.634176,0.397592,0.600071
4,0.582651,0.359241,0.618785
5,0.518065,0.318188,0.652260
6,0.471103,0.302634,0.672092
7,0.445748,0.288789,0.691942
8,0.403921,0.317028,0.685157
9,0.385585,0.283269,0.708121
10,0.359542,0.278563,0.725754
11,0.343544,0.289168,0.690263
12,0.328391,0.288740,0.716979
13,0.330310,0.272697,0.738040
14,0.348908,0.301238,0.688979
15,0.340009,0.276990,0.711013
16,0.347050,0.262805,0.736539
17,0.346101,0.275472,0.743578
18,0.330801,0.277556,0.739833
19,0.360793,0.334974,0.703636
20,0.340381,0.291132,0.731661
21,0.332577,0.261525,0.748762
22,0.324850,0.336440,0.709885
23,0.316763,0.269585,0.760029
24,0.307733,0.278605,0.735537
25,0.303871,0.263679,0.743599
26,0.292483,0.265383,0.741655
27,0.286155,0.251585,0.764703
28,0.282050,0.249911,0.757781
29,0.293284,0.248631,0.763699
30,0.277569,0.280515,0.756916
31,0.269025,0.274451,0.744322
32,0.281586,0.256572,0.741908
33,0.284762,0.272271,0.759139
