epoch,train_loss,valid_loss,dice_score,time
0,0.993185,0.990937,0.012389,00:13
1,0.994109,0.990429,0.013961,00:11
2,0.993551,0.989655,0.015513,00:11
3,0.993231,0.988556,0.016378,00:11
4,0.993266,0.987270,0.017116,00:11
5,0.993195,0.985706,0.018323,00:11
6,0.992438,0.983735,0.019890,00:11
7,0.992957,0.981273,0.022212,00:11
8,0.993314,0.978271,0.025461,00:11
9,0.993446,0.975310,0.028737,00:11
10,0.992335,0.972520,0.031165,00:11
11,0.991000,0.969207,0.035184,00:11
12,0.989536,0.966261,0.037583,00:11
13,0.989776,0.964053,0.039551,00:11
14,0.989755,0.961524,0.041914,00:11
15,0.987904,0.959893,0.043253,00:11
16,0.987214,0.958696,0.044972,00:11
17,0.985703,0.957681,0.045899,00:11
18,0.984120,0.956397,0.046844,00:11
19,0.983352,0.955033,0.048444,00:11
20,0.982691,0.953445,0.051358,00:11
21,0.981414,0.950412,0.059436,00:11
22,0.981601,0.947010,0.073808,00:12
23,0.980789,0.942884,0.081058,00:12
24,0.979817,0.940647,0.076000,00:12
25,0.979158,0.939745,0.075857,00:11
26,0.978319,0.938314,0.078417,00:11
27,0.978463,0.937009,0.080991,00:11
28,0.977194,0.935603,0.079888,00:11
29,0.975361,0.933996,0.080817,00:12
