epoch,train_loss,valid_loss,dice_score,time
0,0.997382,0.994233,0.007041,00:10
1,0.995740,0.993947,0.007589,00:09
2,0.996966,0.993429,0.008514,00:09
3,0.997119,0.992724,0.009618,00:09
4,0.997083,0.991819,0.010740,00:09
5,0.996904,0.990797,0.011545,00:09
6,0.996372,0.989663,0.012537,00:09
7,0.995984,0.988386,0.013559,00:09
8,0.994254,0.986304,0.015835,00:09
9,0.993481,0.983552,0.018848,00:09
10,0.992511,0.980503,0.022222,00:09
11,0.991380,0.978348,0.024587,00:09
12,0.991375,0.976989,0.025173,00:09
13,0.990897,0.976503,0.024843,00:09
14,0.990433,0.975608,0.025612,00:09
15,0.989179,0.973989,0.027281,00:09
16,0.986841,0.972489,0.028722,00:09
17,0.985918,0.970738,0.030739,00:09
18,0.984662,0.969149,0.033024,00:09
19,0.984187,0.967923,0.034568,00:09
20,0.981650,0.967015,0.035462,00:09
21,0.981287,0.966384,0.035792,00:09
22,0.979009,0.965992,0.036196,00:09
23,0.976793,0.965673,0.036570,00:09
24,0.975995,0.965538,0.036181,00:09
25,0.975516,0.965260,0.036358,00:09
26,0.975829,0.964773,0.036897,00:09
27,0.976154,0.964179,0.037521,00:09
28,0.976075,0.963508,0.038328,00:09
29,0.975309,0.962576,0.039599,00:09
30,0.974720,0.961410,0.041692,00:09
31,0.972777,0.959940,0.044298,00:09
32,0.972290,0.958187,0.046170,00:09
33,0.972727,0.957434,0.047073,00:09
34,0.972052,0.957688,0.047647,00:09
35,0.970487,0.956685,0.047930,00:09
36,0.970292,0.955627,0.049212,00:09
37,0.970553,0.955267,0.049954,00:09
38,0.968832,0.954324,0.050138,00:09
39,0.966787,0.953194,0.050193,00:09
40,0.964676,0.953060,0.050169,00:09
41,0.962331,0.953427,0.050091,00:09
42,0.962041,0.953706,0.049758,00:09
43,0.960230,0.953849,0.049512,00:09
44,0.958362,0.953811,0.049513,00:09
45,0.958564,0.953732,0.049584,00:09
