epoch,train_loss,valid_loss,dice_score,time
0,0.989642,0.995010,0.008230,00:13
1,0.993350,0.994379,0.010560,00:12
2,0.994565,0.993454,0.012332,00:12
3,0.994239,0.992263,0.013430,00:12
4,0.994525,0.990798,0.014651,00:12
5,0.994155,0.989024,0.016415,00:12
6,0.993716,0.986366,0.019907,00:13
7,0.993157,0.984130,0.022440,00:13
8,0.989238,0.981838,0.025713,00:13
9,0.988956,0.980190,0.027042,00:12
10,0.987941,0.978309,0.029557,00:13
11,0.987226,0.976252,0.032528,00:13
12,0.986184,0.974633,0.034558,00:12
13,0.984528,0.973493,0.035799,00:13
14,0.983877,0.972471,0.036623,00:12
15,0.983676,0.970762,0.038924,00:13
16,0.982517,0.968735,0.041605,00:13
17,0.977806,0.963252,0.053658,00:13
18,0.977056,0.965656,0.045092,00:12
19,0.976872,0.959457,0.055560,00:12
20,0.976241,0.958091,0.056201,00:13
21,0.975910,0.955303,0.060289,00:12
22,0.970866,0.951874,0.064543,00:13
23,0.969993,0.948855,0.071303,00:12
24,0.965408,0.949456,0.068345,00:13
25,0.965455,0.956778,0.054723,00:13
26,0.965241,0.952708,0.061139,00:12
27,0.965051,0.955338,0.056691,00:13
28,0.965134,0.945729,0.070662,00:12
29,0.965923,0.941070,0.081821,00:13
30,0.964588,0.949562,0.064201,00:12
31,0.963197,0.943206,0.072863,00:13
32,0.963507,0.931083,0.096227,00:13
33,0.963127,0.927656,0.100295,00:13
34,0.962884,0.930392,0.091293,00:13
35,0.961073,0.936398,0.080753,00:12
36,0.960941,0.938893,0.076989,00:13
37,0.958632,0.934736,0.083177,00:13
38,0.957634,0.928048,0.096266,00:12
39,0.956135,0.923772,0.107631,00:13
40,0.955354,0.921083,0.103863,00:13
41,0.953731,0.919917,0.103357,00:13
42,0.953603,0.918227,0.104279,00:13
43,0.952158,0.916577,0.106017,00:13
44,0.950411,0.915111,0.108177,00:13
45,0.950879,0.913559,0.111073,00:13
46,0.950236,0.912293,0.113727,00:13
47,0.951009,0.911632,0.115331,00:13
48,0.949620,0.911339,0.116048,00:13
49,0.949745,0.911300,0.116165,00:13
