epoch,train_loss,valid_loss,dice_score
0,0.987350,0.969673,0.153436
1,0.980788,0.948014,0.182008
2,0.982523,0.928364,0.360734
3,0.968945,0.930189,0.158617
4,0.963831,0.882215,0.431933
5,0.961430,0.854150,0.286444
6,0.957565,0.774679,0.480018
7,0.937177,0.664675,0.464217
8,0.880834,0.550977,0.526201
9,0.866181,0.461697,0.549943
10,0.852192,0.472649,0.553662
11,0.840561,0.579288,0.465928
12,0.820955,0.311973,0.655185
13,0.780532,0.326541,0.624201
14,0.747957,0.401441,0.591946
15,0.708928,0.389952,0.595883
16,0.672460,0.490618,0.554290
17,0.661182,0.232144,0.741417
18,0.628683,0.230787,0.738847
19,0.580321,0.245845,0.749939
20,0.553397,0.230608,0.743193
21,0.534598,0.255724,0.742181
22,0.512175,0.235852,0.754407
23,0.482104,0.296477,0.696924
24,0.467676,0.245001,0.749633
25,0.459510,0.245042,0.747167
26,0.446916,0.236820,0.757565
27,0.432598,0.224445,0.762396
28,0.424356,0.236104,0.757697
29,0.408110,0.256816,0.741936
30,0.404038,0.270124,0.729087
31,0.397600,0.284599,0.721985
32,0.394319,0.233318,0.756828
33,0.387504,0.241093,0.761833
